Processo;Código do Cliente;Cliente;Data Bal.;Geração média de caixa;Último Balanço > 1460 dias;ROB para data base;Soma 3 últimos Lucros Líquidos ;Patrimônio Líquido - Última DF;Risco;Dívida Líquida / Ebitda;Dívida / ROB;Dívida;Aplicações de Liquidez Imediata;Nível BACEN;Possui Audit.Externa?;Audit. Big 4
421367;507046;JOSE ORLANDO DE MELO EPP;43465;7714373,737;Não;34711834,02;20978526,42;31092553,3;C ;-4,191717585;0,282855957;7788900;0;C ;N;NULL
421922;1034837;SANTA MARTA COMERCIO DE OVOS LTDA;43465;201638,7667;Não;30162376,18;-1766063,03;2016604,2;C ;-1,425943829;0,131598385;699940;62971,42;C ;N;NULL
422347;262751;BIOQUIMA COMERCIO & INDUSTRIA DE RACOES LTDA;43465;1485029,743;Não;58900345,76;3477208,14;3608776,15;D ;2,347198375;0,160484627;2660060;49333,91;D ;N;NULL
422689;546085;ELOAGRICOLA COMERCIO REPRESENTACAO LTDA;43465;1039319,017;Não;65334648,77;2331519,27;1087403,04;D ;5,706329324;0,299536775;1074720;307639,82;D ;N;NULL
424049;457174;FULIARO SUPERMERCADOS LTDA;43465;970831,7633;Não;47853370,09;2418894,89;2501546,59;AA;-0,155991626;0,003077782;135240;447111,61;AA;N;NULL
424573;549705;C & R PADARIA E SUPERMERCADOS LTDA;43465;3589365,65;Não;30774965,52;10485335;5023641,64;A ;0,197894544;0,02732042;179070;43312,86;A ;N;NULL
424827;374908;LATICINIO TAQUARI LTDA;43465;617843,2967;Não;76953128,22;22361,62;4071711,14;B ;-0,544654728;0,012873811;857590;1979841,71;B ;N;NULL
425435;381556;COOP AGROP IND CONS DE PARAOPEBA LTDA;43465;937466;Não;60300019,11;2564480,42;7517046,99;B ;1,903205458;0,059157361;57250;0;B ;N;NULL
426420;261497;DAMFI - DESTILARIA ANTONIO MONTI FILHO EIRELI;43465;20719902,61;Não;54450764,07;57194008,83;30459010,41;B ;-0,116964581;0,019603963;1057020;4178566,83;B ;N;NULL
426703;875428;CLINICA VERA CRUZ LTDA;43465;3073073,317;Não;48942914,94;8451676,95;2235729,54;D ;1,364785641;0,193672363;227840;0;D ;N;NULL
427783;387741;ALCANCE ENGENHARIA E CONSTRUCAO LTDA;43465;5761467,703;Não;69026111,07;17284403,11;32741488,95;C ;-1,326156023;0;Não possui balanço cadastrado;13368820,52;C ;N;NULL
428959;911730;SYAGRI AGRONEGOCIOS COMERCIO & REPRESENTACOES;43465;-997607,5133;Não;78270133,9;-3028446,33;2669300,59;C ;5,131396509;0,126877045;733440;0;C ;N;NULL
433568;284028;ROUXINOL VIAGENS E TURISMO LTDA.;43465;4390958,933;Não;61738333,02;4128383,5;48571322,83;D ;2,732700547;0,193521584;8936900;391927,2;D ;N;NULL
